latitude,longitude,sorting
56.05785,-163.27355,0.6796
55.6162,-167.8403,2.2742
56.22448,-160.97753,0.5921
55.883,-165.433,1.36296
55.7997,-166.3323,2.7502
55.8,-166.33,1.74
56.22998,-161.20672,0.3831
55.7,-167.325,2.32
56.21382,-161.5946,0.5828
56.29167,-160.46667,0.84
56.23333,-161.5,0.45
56.28333,-160.7,0.61
56.05,-164.03333,1.22
55.899,-165.701,2.2936
56.26333,-161.16,0.78
56.277,-160.93017,0.425
56.20743,-162.1729,0.7278
56.195,-162.378,0.42
56.23333,-161.85667,0.42
56.083,-163.933,1.86
56.29,-161.038,2.65
56.155,-163.13667,0.44
55.7903,-167.0152,2.708
56.31683,-160.74565,0.4857
56.05,-164.51667,1.37
55.7987,-167.0297,2.7364
56.31663,-160.97442,0.7125
56.283,-161.583,0.52
56.325,-160.895,2.07487
56.3091,-161.20285,0.7039
56.05,-164.71667,1.39
56.30392,-161.44618,0.9335
56.25,-162.345,0.37
56.37,-160.435,0.35
56.083,-164.533,1.79
56.35,-160.9,0.61
56.29375,-161.8311,1.0127
56.4,-160.15833,0.83792
56.354,-161.002,1.0628
56.05833,-164.99333,1.8
56.375,-160.825,0.6
56.29385,-162.16137,0.6875
56.25,-162.82833,0.38
56.42533,-160.15117,1.86224
55.80933,-167.56833,1.5399
56.05833,-165.315,1.39
56.40507,-160.759,0.7418
56.38277,-161.20785,0.682
56.39928,-160.98135,0.659
56.37487,-161.45107,0.7218
56.33116666666667,-162.191,1.192
56.39585,-161.21398,0.7621
56.32133,-162.5,0.47693
55.88833,-167.21,2.44
56.26667,-163.3,0.49
56.38737,-161.59867,1.3287
56.42167,-161.06667,0.47
56.37478,-161.8301,0.8114
56.475,-160.166,1
55.7888,-168.2155,1.7869
56.37798,-161.99313,1.1155
56.45833,-160.7,0.34
56.44,-161.06667,0.425
56.44167,-161.12,0.49396
56.49333,-160.24167,2.59666
55.981,-166.7508,2.5418
56.48772,-160.75835,0.664
56.50667,-160.46,0.86
56.48167,-161.05667,0.49396
56.48567,-161.00167,1.0393
56.333,-163.333,1.84
56.495,-160.96333,0.53
56.48155,-161.21623,0.7228
55.9445,-167.4152,2.6697
55.9488,-167.4023,2.5306
56.525,-160.692,2.2
56.48833,-161.43,0.38
56.47355,-161.68447,0.9583
56.32433,-163.749,0.99115
56.46835,-161.8424,1.3528
56.48167,-161.71333,0.39
56.46528,-161.99675,0.8272
56.48167,-161.80167,0.46
56.5965,-159.7765,0.47693
56.48167,-161.845,0.49
56.57233,-160.31933,1.58576
56.46667,-162.085,0.54
56.56667,-160.43333,0.54
56.46993,-162.15197,0.7232
56.58,-160.34,0.68839
56.6205,-159.79817,1.39423
