latitude,longitude,mean_phi
55.20393,-164.35782,1.6521
55.295,-163.315,3.34
55.21143,-164.50497,2.5562
55.28568,-163.74817,-0.246
55.20637,-164.65715,3.0563
55.1083,-165.7333,5.34
55.35333,-163.03,1.36
54.7652,-168.7022,7.58
55.34667,-163.13167,0.7
55.273,-164.04617,0.54
55.2059,-164.80675,3.3569
55.2885,-163.90267,-0.4779
55.33266666666667,-163.41683333333333,2.62
54.998959975633,-166.933183449413,4.551
55.38067,-162.921,0.81
55.20783,-164.95348,3.6873
55.29028,-164.0523,0.677
54.97667,-167.16633,4.2675
55.003658,-166.946171999999,4.316
55.33667,-163.665,0.4
55.26667,-164.5,2.56
55.3122308585402,-164.038020147149,1.864
55.2523829146444,-164.726750508226,3.52
55.37333,-163.33833,3.15
55.3158090244228,-164.030254517514,0.262
55.20333,-165.29833,4.55
55.00083,-167.33183,4.2394
55.37542,-163.58847,2.1704
55.35,-163.9,2.95772
55.344,-164.00783333333334,1.928
55.03017,-167.27767,4.1381
55.03117,-167.2765,4.2317
55.44083,-163.06167,2.32
55.29477,-164.80953,3.4237
55.266,-165.133,4.91923
55.2813,-165.1292,4.257
55.061,-167.23167,4.3346
55.37535,-164.20333,2.3941
55.139,-166.7578,4.8822
55.53,-162.56667,-2.07
55.4586,-163.59597,2.4632
55.38333,-164.51667,2.42
55.48167,-163.385,2.56
55.3341638722145,-165.166460070688,4.214
55.3339909999999,-165.168512999999,4.4120002
55.38355,-164.65237,3.5127
55.4,-164.583,3.78083
55.4631,-163.90097,2.5678
55.53067,-163.1455,1.84
55.5,-163.53333,2.7
55.2882,-165.984,4.52
55.49,-163.87,2.35
55.2922,-165.9847,4.9112
55.46168,-164.23333,2.7818
55.59167,-162.63167,2
55.59317,-162.6575,2.2065
55.515,-163.735,2.43
55.54075,-163.44073,2.1084
55.3336449999999,-165.781608,4.8959999
55.48667,-164.185,2.18
55.53167,-163.89833,2.24
55.5577811759902,-163.595876577765,2.113
55.6,-163.1,2.1
55.6197,-162.90362,0.7465
55.54898,-163.89962,2.2025
55.62303,-163.0577,0.1477
55.58333,-163.58333,2.41
55.54815,-164.04662,2.6513
55.63888,-162.97092,0.1927
55.3341163681237,-166.350060837887,5.194
55.62452,-163.28052,2.2958
55.63217,-163.3095,2.25
55.501,-164.8372,3.7013
55.5043,-164.8353,3.7289
55.4,-165.9,5.48
55.66667,-162.97833,0.53
55.68,-162.81333333333333,2.073
55.55138,-164.42647,3.1505
55.585,-164.05,2.96
55.69667,-162.70167,2.12
55.62942,-163.58947,1.9332
55.288,-167.112,4.15
55.2912,-167.1105,5.0362
55.70463,-162.74563,2.2516
55.55228,-164.65563,3.3272
55.66466666666667,-163.4065,2.369
55.31167,-167.075,5.44
55.7072,-162.89865,2.1809
55.76667,-162.12833,2.84
55.63375,-163.88618,3.0306
55.76367,-162.24333,-1.7795
55.3329147857717,-166.966665609964,5.132
55.34083,-166.95117,5.1064
55.533,-165.15,3.97985
55.78167,-162.16333,-2.5
55.64132,-163.97655,1.4951
55.47,-165.82,5.17
55.70333,-163.24667,2.52
55.74,-162.82333,2.25
55.76667,-162.49167,2.32
55.638,-164.1982,2.8427
55.4313,-166.3512,5.7332
55.4315,-166.3515,5.36
55.4318,-166.3517,4.89
55.6659856543788,-163.999828113251,3.288
55.60667,-164.67,3.4
55.79383,-162.3715,-0.38875
55.81433,-162.08567,-2.42
55.71392,-163.4328,2.6757
55.5163,-165.701,5.2941
55.517,-165.6985,4.89
55.82133,-162.12317,-1.85
55.80667,-162.37167,0.64
55.416667352573,-166.821027269613,5.298
55.3333534553303,-167.553080157378,3.867
55.8309940199999,-162.2428816,1.63
55.8316274499999,-162.2418405,2.07
55.71757,-163.73355,3.0123
55.8326248099999,-162.240053999999,1.9
55.7,-164,3.09175
55.66817,-164.49617,3.18
55.6603629999999,-164.591603999999,3.154
55.8275681525298,-162.548945432894,2.214
55.6,-165.28833,5
55.6678790952018,-164.582489643595,3.365
55.82167,-162.83333,2.03
55.68333,-164.51667,3.1
55.7966,-163.28088,2.6569
55.7218,-164.20587,3.1224
55.87667,-162.27333,0.1
55.365,-167.775,3.58
55.71333,-164.44167,3.11
55.87167,-162.50228,2.2734
55.87972,-162.48162,0.61240000000000006
55.81667,-163.31667,2.67
55.5002803735299,-166.674977436649,5.366
55.72515,-164.43028,3.0892
55.1958,-169.3507,7.3
55.72467,-164.65893,3.3953
56.02833,-160.62333,2.56
55.83333,-163.55,3.21
55.75,-164.55,3.69098
55.4488,-167.4808,4.7097
55.45,-167.4808,4.5
55.88013,-163.052,2.809
56.00633,-161.3165,-0.69
55.575,-166.592,6.66
55.95718,-162.33907,0.9726
55.5837538283668,-166.530747751981,5.26
55.82667,-164.03667,3.22
55.94167,-162.63333,2.5
55.6677224677863,-165.795143213778,5.179
55.80832,-164.35657,3.0432
55.97,-162.32,2.06
56.035,-161.34417,-1.17
55.9715,-162.32167,1.15
55.966,-162.416,2.22543
55.6608,-166.0145,5.556
55.5922,-166.678,5.6135
55.5958,-166.6693,5.8928
56.03333,-161.63167,1.92
55.6668,-166.0277,5.292
56.02667,-161.81667,0.71
56.10667,-160.68333,2.99
56.02,-162.10667,1.79
56.08667,-161.08167,-0.15
55.65,-166.53667,5.79
55.666903829208,-166.383681855782,5.392
56.115,-160.93,1.46
55.990833333333335,-162.82033333333334,2.309
56.03807,-162.1866,1.8503
55.83667,-164.80667,3.51
56.1,-161.416,1.61285
56.1,-161.42,1.61
56.04222,-162.33608,1.91
56.03167,-162.58833,2.38
56.154,-160.83083,2.32
56.16333,-160.75333,2.4
56.12837,-161.58363,1.9832
56.16417,-161.03,1.9522
56.12515,-161.81513,1.1509
55.6677500304505,-166.985114142659,5.45
56.05,-162.9,2.9537
56,-163.55,3.2391
56.05167,-163.075,2.66
55.866,-165.266,3.38658
56.12723,-162.08267,2.0648
56.19167,-161.20333,2.18
56.13667,-162.16167,1.62
56.2279,-160.74223,1.3817
56.05785,-163.27355,2.428
56.1636081098052,-161.935544253681,0.137
56.007764,-163.99739,3.927
56.007764,-163.99739,3.8210001
55.6158,-167.8418,3.71
55.6162,-167.8403,4.0053
56.22448,-160.97753,2.171
56.1670116786829,-161.928489503027,-0.165
55.7997,-166.3323,5.7791
55.8,-166.33,5.53
56.22998,-161.20672,1.9579
56.0349556892126,-163.935991981847,3.198
55.7,-167.325,5.96
56.21382,-161.5946,3.1325
56.29167,-160.46667,1.03
56.23333,-161.5,2.28
55.999467,-164.580023,3.826
56.28333,-160.7,2.12
56.05,-164.03333,3.16
55.899,-165.701,4.8222
55.8993,-165.701,4.5
56.26333,-161.16,1.88
56.277,-160.93017,2.18
56.20743,-162.1729,1.1161
56.195,-162.378,2.27
56.23333,-161.85667,2.08
56.08,-163.93,3.21
56.083,-163.933,3.54102
56.29,-161.038,0.08
55.513,-169.263,7.27
56.155,-163.13667,2.96
55.7903,-167.0152,4.8964
56.31683,-160.74565,2.0358
55.7942,-167.0222,5.29
56.05,-164.51667,3.53
55.7987,-167.0297,5.812
56.31663,-160.97442,2.307
56.283,-161.583,2.00773
56.325,-160.895,0.38
56.000065366732,-165.184369554108,3.835
56.3091,-161.20285,1.9148
56.003843,-165.191328,3.8169999
56.05,-164.71667,3.34
56.30392,-161.44618,1.7386
56.25,-162.345,2.3
56.37,-160.435,0.09
56.083,-164.533,3.6982
56.35,-160.9,1.75
56.29375,-161.8311,2.0688
56.4,-160.15833,-0.7
56.354,-161.002,2.2461
56.05833,-164.99333,3.85
56.375,-160.825,1.75
56.29385,-162.16137,1.1424
56.25,-162.82833,2.49
55.9997565766424,-165.783093982795,4.419
56.42533,-160.15117,-0.74
55.80933,-167.56833,4.9426
56.05833,-165.315,4.14
56.40507,-160.759,2.2147
56.06,-165.33,4.53
56.38277,-161.20785,2.0212
56.39928,-160.98135,2.1416
56.37487,-161.45107,1.7569
56.33116666666667,-162.191,2.345
56.39585,-161.21398,1.9454
56.3354840299633,-162.195677634061,2.054
56.32133,-162.5,2.4
55.88833,-167.21,6.37
56.26667,-163.3,2.87
56.38737,-161.59867,2.1457
56.42167,-161.06667,2.3
56.37478,-161.8301,1.8619
56.475,-160.166,-0.4017
55.7848,-168.2217,2.81
55.7888,-168.2155,3.1161
56.37798,-161.99313,1.9149
56.45833,-160.7,2.27
55.9997358020135,-166.400155718203,5.304
56.44,-161.06667,2.25
56.44167,-161.12,2
56.4230554011522,-161.448866161697,1.992
56.49333,-160.24167,-1.34
56.3340034383092,-162.804155342813,2.43
55.981,-166.7508,6.4224
55.9832,-166.7413,5.92
56.48772,-160.75835,2.1011
56.50667,-160.46,0.87
56.48167,-161.05667,2.12
56.48567,-161.00167,2.1134
56.333,-163.333,3.76527
56.495,-160.96333,2.21
56.48155,-161.21623,1.9496
55.9445,-167.4152,5.9564
56.3337119999999,-163.397988,3.313
56.3344635247848,-163.397480285474,3.633
55.9488,-167.4023,5.8978
56.525,-160.692,0.5
56.48833,-161.43,2.15
56.47355,-161.68447,2.1973
56.32433,-163.749,2.94
56.46835,-161.8424,2.1933
56.48167,-161.71333,2.37
55.6348,-170.0843,6.67
56.46528,-161.99675,2.0151
56.48167,-161.80167,2.25
56.5965,-159.7765,2.06
56.48167,-161.845,2.28
56.57233,-160.31933,-0.52
56.46667,-162.085,2.25
56.56667,-160.43333,2.3
56.46993,-162.15197,2.257
56.58,-160.34,1.69
56.6205,-159.79817,0.67
56.333,-164.133,4.08405
56.266,-165.083,4.44018
56.27,-165.08,4.21
56.485,-162.55833,2.39
55.88,-168.735,3.52
56.40333,-163.7,3.71
56.4989978687412,-162.491334123295,2.26
56.3337699298183,-164.581068943848,4.157
56.32367,-164.99167,3.06
56.366,-164.533,4.44365
56.50167,-163.03833,2.87
56.19867,-166.41083,5.2207
56.538,-162.63,2.67
56.3309368959694,-165.19818617858,4.503
56.7095,-159.8955,1.36
56.74283,-159.41233,-0.2
56.1483,-167.1158,6.2386
56.15,-167.1163,5.59
56.02417,-168.25667,2.4997
56.497602,-163.708766,3.431
56.499918,-163.703583,3.674
56.75,-159.833,1.65795
56.71667,-160.51667,1.61
56.443061,-164.435489999999,3.8299999
56.199,-166.92,3.85
56.1037,-167.7713,3.99
56.1062,-167.7693,4.3819
56.683,-161.233,1.84815
56.666333333333334,-161.57316666666668,2.276
56.74,-160.33,4
55.7145,-170.818,6.51
56.633,-162.2,2.44515
56.333650599213,-165.801789990075,4.551
56.39667,-165.30333,4.2
56.716,-161.35,2.27272
56.50667,-164.27833,3.65
56.82433,-159.6855,1.69
56.14167,-168,3.11
56.73167,-161.52167,2.29
56.51667,-164.5,3.9
56.666,-162.7,2.7429
56.67,-162.7,2.56
56.6652980683545,-162.779560945091,2.642
56.6668829999999,-162.775933,2.8150001
56.35767,-166.41317,4.9054
56.49833,-164.98833,3.91
56.65,-163.483,4.0635
56.758,-161.995,2.84
56.666949,-163.383877,3.4560001
56.93517,-158.86767,1.84
56.19867,-168.33217,1.7604
56.885,-160.52267,1.89
56.83,-161.58,2.2
56.667,-163.96,3.92
56.66698,-163.986458,3.803
56.3268,-167.4515,5.2462
56.6664927708955,-164.000029576555,3.417
56.670245,-163.99544,3.9549999
56.3347,-167.4453,4.8
55.9403,-170.5373,7.06
56.99133,-159.00133,1.25
56.25,-168.35333,2.27
56.34667,-167.61833,5.52
56.19833,-168.88,1.53
56.67167,-164.44333,3.83
56.6670081384386,-164.598085844994,3.958
56.12083,-169.5545,7.1178
57.03,-159.1,1.46
56.1305,-169.5443,7.0118
56.13433,-169.54317,7.2177
56.89667,-161.785,2.61
56.1385,-169.5378,6.55
56.0894,-170.0496,3.4787
56.2263,-169.0235,1.8512
56.826103,-163.097813,3.0009999
56.0965,-170.0477,3.6027
56.08333,-170.16667,3.32
56.3273,-168.2888,2.6412
56.997,-160.63,1.95
56.6680382052109,-165.214855572783,4.015
56.603,-165.9,4.04
56.988434918485,-160.978857940274,2.111
57,-160.866,2.42373
56.7491868637143,-164.451727916937,4.628
57.001333333333335,-160.95283333333333,1.969
57.0020574407443,-160.948492857432,2.223
56.566,-166.42217,4.8348
57.08967,-159.2835,1.69
56.67167,-165.38167,4.01
56.8,-164,4.02685
56.75,-164.6,4.37162
56.9,-162.75,2.89423
57.05,-160.333,1.61745
56.452,-167.67233,3.87
56.115,-170.393,3.23
57,-161.7,2.4487
56.9275,-162.78417,2.8837
56.1047,-170.5568,6.76
56.10533,-170.55867,7.4338
57.00283,-161.999,2.32
56.62783,-166.43633,4.5699
56.8331494244456,-164.300254177093,3.778
56.232,-169.8268,3.3057
56.2337,-169.834,2.95
56.97833,-162.78633,2.8119
56.362,-169.0293,0.01
56.362,-169.03167,1.9471
56.3613,-169.0415,2.161
57,-162.667,2.84
56.29833,-169.58717,2.89
57.1257127718039,-160.701805260049,2.218
56.9963929999999,-162.784918,2.461
57.08,-161.68,4.66
56.24883,-170.0585,5.0522
56.966,-163.316,3.56053
57.05,-162.166,2.4602
57.05,-162.17,2.38
56.40667,-168.89667,2.2
56.5265,-167.9823,4.1333
56.5295,-167.977,3.9407
56.9169673628041,-164.149362229056,3.859
56.318,-169.7,0.73
56.3247,-169.69167,0.8994
57.00062808218,-163.384932325257,3.061
56.4388,-168.9245,1.8988
56.85133,-165.15533,4.9145
56.40267,-169.21583,1.51
56.66733,-167.05367,4.7134
56.5787,-167.9045,3.579
56.5808,-167.9035,3.32
56.6973,-166.9213,4.1548
56.517,-168.5,3.37
56.3787,-169.6242,0.6825
56.3815,-169.6263,1.0398
56.27,-170.46,4.17
56.6073,-167.8683,4.0254
56.6112,-167.8623,3.9876
56.4915,-168.8575,3.0241
56.39933,-169.59383,2.94
57.283,-159.528,2.43
57.0012248011995,-163.999618514985,3.605
56.5035,-168.8332,2.86
56.5037,-168.837,3.2661
56.91,-165.14,4.69
57.342333333333336,-158.40216666666666,-0.785
57.11567,-162.79833,2.7471
56.5357,-168.79,3.1784
57.342,-158.967,-0.8
57.25,-160.93,3.7
57.25,-160.93,2.1
57.25,-160.933,2.1365
56.6053,-168.2855,3.5906
56.74867,-167.0565,4.4355
57,-164.50333,3.18
56.372,-170.1473,5.14
56.3755,-170.1538,5.5873
56.6777,-167.7733,3.621
56.5618,-168.7477,3.3295
56.592,-168.5075,3.63
57.0012810886762,-164.6018608078,3.71
57.38483,-158.31833,-0.32
56.41,-169.945,5.59
56.41,-169.945,3.7
57.36767,-158.96667,1.29
57.066,-164,4.01035
56.567,-168.9185,2.81
56.5685,-168.90667,2.9897
57.418,-158.175,0.35
57.213,-162.258,2.56
57.266,-161.433,2.5868
57.331,-160.294,1.957
56.7945,-167.05817,3.9265
56.4905,-169.5915,1.49
57.4,-158.983,1.45475
56.432,-170.09417,5.1892
57.42,-158.63,1.2
56.602,-168.884,3.5916
56.6378,-168.6373,3.5993
56.6388,-168.6372,3.29
56.7538,-167.6752,3.5953
56.7538,-167.6752,3.33
56.82433,-167.06533,3.8881
57.066,-164.616,4.4878
57.325,-161.0967,3.45
57.325,-161.097,2.52
56.76333,-167.74167,4.36
56.568,-169.375,2.58
56.47583,-170.083,5.1675
57.383,-160.316,2.40752
56.48167,-170.055,4.91
57.46667,-158.53333,1.25
56.48667,-170.0662,5.4787
57.332977,-161.541635,2.3529999
56.53933,-169.76417,2.76
56.86867,-167.0715,3.7572
57.25,-163.083,3.02
57.17033,-164.16133,4.4125
56.4053,-170.97167,3.622
56.4058,-170.9723,3.37
57.3343509999999,-162.149964,2.2420001
57.47,-159.75,1.76
56.9075,-167.075,3.8724
56.5622,-169.9462,4.19
56.5637,-169.9393,4.5197
56.61767,-169.5935,1.94
57.5,-159.5,1.83
56.63867,-169.49617,0.77
56.62683,-169.631,1.98
56.59883,-169.86183,-0.74
57.10833,-165.425,4.31
57.3342171954189,-162.764221249213,2.696
56.7003,-169.1687,2.73
57.467,-160.667,2.09
56.60267,-169.93933,3.91
57.20467,-164.47433,4.4897
56.6995,-169.216,2.46
57.35167,-162.62,2.61
56.6285,-169.78167,-0.28
56.7072,-169.1808,2.958
57.3,-163.366,2.90895
57.165,-165.072,4.33
56.69783,-169.3805,2.96
57.5,-160.5,1.74
56.7977,-168.6048,3.9262
56.79833,-168.601,3.8341
57.12167,-165.68833,3.96
57.416,-162.166,2.41665
56.86667,-168.15,3.18
57.3335234079194,-163.385133286522,2.636
56.71517,-169.49467,3.296
56.71567,-169.55617,3.18
56.69883,-169.69133,1.92
57.583,-159.666,1.79055
57.65333,-157.92,1.6331
57.633,-158.55,1.32
56.79883,-169.014,3.02
57.5,-161.5,2.8
57.3340827081212,-163.998671244381,3.444
57.55,-160.85,2.33257
56.74733,-169.59533,2.9347
57.5445634,-161.1803897,2.27
56.7965,-169.32533,3.5
57.5541963,-161.181222999999,2.4
56.6198,-170.6692,4.5394
56.6215,-170.668,4.15
57.5557901,-161.2147179,2.26
57.66504932,-159.020081,1.27
57.665627,-159.019008799999,1.67
57.6657021899999,-159.0180709,1.02
57.5590777,-161.215349699999,2.39
57.682,-158.65333,1.12
57.565286,-161.182047,2.4
57.616,-160.25,2.04215
56.796,-169.45933,3.37
57.5678229999999,-161.1820073,2.4
57.62,-160.25,1.93
57.5689489,-161.2156348,2.4000001
57.5712351999999,-161.1822894,2.47
57.098,-167.002,3.7
57.5784738999999,-161.1827802,2.3
57.65533,-159.7695,1.79
57.5808036999999,-161.216486,2.3299999
57.5789381,-161.2492201,2.5799999
57.5,-162.5,2.62
57.5778747,-161.2831317,2.49
56.884,-168.9033,2.9569
57.09383,-167.10567,3.9395
56.8857,-168.9003,2.69
57.5833160999999,-161.2497046,2.4300001
57.5853851,-161.2164808,2.38
57.5821771999999,-161.2831362,2.38
56.664,-170.5998,4.5276
56.7965,-169.63117,2.15
57.67,-159.63333333333333,1.638
57.7,-158.98,1.41
57.7,-158.983,1.40345
57.5919135999999,-161.2168987,2.31
57.566811,-161.697748999999,2.1570001
57.5944779,-161.250037999999,2.3199999
57.6001495,-161.1840981,2.1800001
57.5953706,-161.2839543,2.41
57.600636,-161.2508469,2.3800001
57.6002879999999,-161.2847251,2.41
57.6047913,-161.2180735,2.46
57.333,-164.916,3.44365
57.6080146999999,-161.1849819,2.27
56.82167,-169.5975,2.239
57.6078266999999,-161.218195,2.4000001
56.691,-170.5737,4.976
57.6127674999999,-161.1845407,2.1199999
57.6,-161.466,2.56553
57.6147191,-161.2176948,2.41
57.614849,-161.2183784,2.3
57.6,-161.47,2.48
57.6169912,-161.1849406,2.3299999
57.6135688999999,-161.2514516,2.37
57.6152050999999,-161.252637999999,2.48
57.723,-159.09,1.54
57.6113100999999,-161.3516032,2.4300001
56.79133,-169.9325,2.65
57.6139209999999,-161.351981499999,1.27
57.6203623999999,-161.285267699999,2.41
57.38,-164.62,3.65
57.535,-162.667,2.66
57.383,-164.616,3.95005
57.6270391999999,-161.285806,2.4
57.013,-168.2653,2.8217
56.63667,-171.13333,4.02
57.6280256,-161.3196883,2.3
57.6322438999999,-161.252976899999,2.46
57.6362828999999,-161.2196327,2.37
57.6286637999999,-161.353757599999,2.44
56.862,-169.5203,2.3458
57.4,-164.53333,3.71
57.6330391999999,-161.3194422,2.3
56.9555,-168.8043,3.0262
57.6329192,-161.353622599999,2.37
56.8662,-169.5175,2.22
57.6414282,-161.253847699999,2.48
57.6452083,-161.220405699999,2.32
57.6417894,-161.3204311,2.6300001
56.745,-170.4832,4.8475
57.6475647999999,-161.254583,2.3199999
57.6496929999999,-161.2206686,2.3199999
57.6489838,-161.2537651,2.27
57.6472026,-161.2877723,2.1300001
56.889,-169.423,3.55
57.565,-162.605,2.32
57.5,-163.5,2.86
57.6488738999999,-161.3208332,2.5999999
57.6558816,-161.2212088,2.3299999
57.8,-158.05,1.38243
57.8,-158.05,1.38
57.6529092999999,-161.2873719,2.4000001
57.6540486999999,-161.3216803,2.6700001
57.6534033,-161.3548421,2.37
57.6581014,-161.3216433,2.27
56.886,-169.5675,2.63
57.6664243,-161.254872699999,2.52
57.6688085999999,-161.2546892,2.41
57.6727382999999,-161.1881137,2.33
57.6634614999999,-161.3555767,2.28
57.6676819999999,-161.2884702,1.63
57.673788,-161.1886791,2.44
56.9965,-168.7385,2.8897
57.6664243,-161.322149599999,2.51
57.6691609,-161.288534199999,8.8299999
57.022,-168.551,3.09
57.677297,-161.189343,2.37
57.6751727999999,-161.255461099999,2.41
56.98083,-168.91167,2.78
56.88317,-169.7055,2.49
57.6796368999999,-161.255832599999,2.37
57.30333,-166.05833,4.34
56.74233,-170.7465,4.6833
57.6777390999999,-161.3234064,2.48
57.6861198,-161.189037,2.34
57.6909702,-161.1892105,2.34
57.6898887999999,-161.222555699999,2.35
56.983,-169.017,3.43
57.7167864999999,-160.841673899999,2.27
57.717086,-160.83980209999999,2.25
57.6978487,-161.1904379,2.38
56.9365,-169.4143,2.982
57.7162611999999,-160.877574799999,2.45
57.7166593999999,-160.8791189,2.38
57.6,-162.733,2.49642
57.6976074999999,-161.223937799999,2.33
56.8072,-170.3957,4.7238
57.7157351999999,-160.9253462,2.4
57.7157709999999,-160.9289377,2.44
57.7154791,-160.935735499999,2.32
57.7155901,-160.9432466,2.41
57.6957209999999,-161.3245261,2.45
57.7146346999999,-161.011694,2.2
57.6966595999999,-161.324205299999,2.52
57.713957,-161.0316497,2.27
57.7140016999999,-161.0382616,2.4
57.7137930999999,-161.05178,2.43
57.7021196,-161.2571341,2.33
57.7136458,-161.0669152,2.3199999
57.7134649999999,-161.0703886,2.25
57.7070554,-161.1908679,2.41
57.7129407999999,-161.0888659,2.38
57.7130701,-161.0949477,2.5
57.7040887,-161.2574879,2.5
57.7125533999999,-161.113159599999,2.3
57.7022491999999,-161.2911943,2.54
57.7123447,-161.1185781,2.34
57.7087057999999,-161.1906011,2.3
56.891,-169.862,3.96
57.7061956,-161.2907538,2.48
57.7353261,-160.8112647,2.12
57.7349127,-160.829284199999,2.52
57.7349109999999,-160.835887399999,2.4200001
57.7072644,-161.3248399,2.07
57.7349470999999,-160.8414242,2.25
57.7345432999999,-160.8639781,2.47
57.7346156999999,-160.8677936,2.51
56.98167,-169.21167,3.47
57.7336967999999,-160.9046616,2.27
57.7341348,-160.896818599999,2.3499999
57.7118433999999,-161.291191599999,2.47
57.7335629999999,-160.9454512,2.37
57.7333003999999,-160.9537435,2.43
57.7106412999999,-161.357902599999,2.39
57.7126418,-161.3250965,2.37
57.7327445,-160.993822999999,2.43
57.7323989,-161.0061068,2.43
57.732264,-161.0122107,2.3199999
57.7319463999999,-161.0293473,2.27
57.7209605999999,-161.225211599999,2.49
57.7320877,-161.0361619,2.3
57.7321176,-161.041059399999,2.43
57.6661871148035,-162.133138065775,2.205
57.7149404,-161.3579268,2.4
57.7308819,-161.0894834,2.21
57.7312726999999,-161.0998045,2.37
57.7220142999999,-161.2919023,2.38
57.7271734999999,-161.225567799999,2.39
57.7260171,-161.2584294,2.41
56.89083,-170.02683,2.66
57.7237391,-161.359827099999,2.0799999
57.7520473,-160.888373699999,2.29
57.7525505999999,-160.8852196,2.38
57.7319523999999,-161.259177599999,2.42
57.7520969999999,-160.909127,2.25
57.7516754999999,-160.922245699999,2.22
57.7265693,-161.359992199999,2.1800001
57.7511663,-160.959616899999,2.38
57.7508449999999,-160.9661577,2.4
57.7500293,-161.008393,2.47
57.7498258999999,-161.0253805,2.31
56.9508,-169.6393,2.3808
57.7500804,-161.031501999999,1.02
57.7498653999999,-161.0417997,2.1800001
57.7382907,-161.2929039,2.23
57.7491021,-161.1072935,2.47
57.7485904999999,-161.120778199999,2.45
57.7483943,-161.137541099999,2.36
57.7377718999999,-161.326709599999,2.36
57.7483334,-161.1515549,2.27
57.7473845999999,-161.179582299999,2.3199999
57.7473524999999,-161.1927118,2.1800001
57.7395773,-161.326974,2.45
57.7468594999999,-161.2148449,2.33
57.7467323999999,-161.2211149,2.39
57.744962,-161.293936699999,2.1700001
57.7697040999999,-160.9316915,2.47
57.7692252,-160.9449783,2.46
56.92667,-169.935,2.72
57.7688764999999,-160.966949,2.23
57.7688746999999,-160.973778299999,2.27
57.7476521,-161.361194399999,2.4
57.7686433,-161.009430799999,2.3
57.7684912,-161.015853499999,2.45
57.76762,-161.069587299999,2.3499999
57.7673933,-161.0746225,2.1300001
57.7671751,-161.0848618,2.42
57.7671228999999,-161.0985685,2.37
57.7668096,-161.109821899999,2.1800001
57.7524335,-161.361180899999,2.37
57.7655804999999,-161.1382829,2.25
57.7666414999999,-161.1234738,2.2
57.7662501,-161.1423201,2.3
57.7659351,-161.1603254,2.37
57.7657306999999,-161.1767385,2.28
57.759283,-161.294626499999,2.31
57.7650122,-161.2092466,2.4
57.6660236018319,-162.751964487483,2.04
57.7646275,-161.2240961,2.39
57.7636448,-161.2947612,2.37
57.7597437,-161.361892299999,2.42
57.1203,-168.5585,3.3183
57.7868283999999,-160.965733199999,1.02
57.7868040999999,-160.967760199999,2.23
57.7664310999999,-161.328553599999,2.46
57.7864764999999,-160.9997586,2.23
57.7864214,-161.0021505,1.02
57.7855423999999,-161.0304495,2.45
57.7683919999999,-161.3287295,2.31
57.7860881,-161.028282899999,2.47
57.7855457,-161.0483814,2.39
57.7857247999999,-161.0572323,2.41
57.7853503999999,-161.0729532,2.54
57.7685615999999,-161.3629325,2.45
57.7853362999999,-161.0811461,2.43
56.99,-169.64483,2.35
57.7845389,-161.1194385,2.34
57.7847689,-161.117742099999,2.3
57.7841317,-161.151139699999,2.1300001
57.7836892999999,-161.169777399999,2.1700001
57.7838861999999,-161.1770626,2.48
57.633,-163.433,2.8279
57.7835189999999,-161.193380899999,2.35
56.995,-169.638,2.35
56.6667,-171.9667,3.39
57.7775023,-161.328974899999,2.26
57.7755796,-161.362815299999,2.36
