latitude,longitude,mean_phi
53.8575,-166.57417,6.6054
53.882,-166.52567,5.7505
53.91533,-166.49733,0.2075
53.921,-166.4955,-0.246
53.93217,-166.49117,3.8524
53.95683,-166.48483,4.1133
53.97817,-166.47317,4.2221
53.98417,-166.5945,-0.6355
54.02183,-166.466,4.0118
54.13,-165.7437,5.1348
54.1315,-165.7482,5.163
54.09,-166.55,0.29
54.1312,-166.2028,2.0626
54.2112,-166.639,6.77
54.3428,-167.5192,5.18
54.67,-164.755,2.74
54.6679259785392,-165.150311627941,2.4
54.70167,-164.81667,2.84
54.645,-165.422,0.57
54.6905,-165.15816666666666,2.483
54.3775,-168.0872,5.48
54.55833,-166.89917,5.0493
54.75,-165.5,0.85
54.8042,-164.9912,3.6744
54.8042,-164.9912,3.25
54.729,-165.8935,4.1986
54.7355,-165.8835,3.921
54.7378,-165.8803,3.58
54.90533,-164.578,-0.444
54.97667,-164.10167,2.74
54.9475,-164.581,-0.66925
54.94167,-164.68333,0.39
55.015,-164.16,-1.24
54.9775,-164.5855,-0.395
55.01266666666667,-164.431,-1.218
55.0008049829249,-164.579845442124,-0.415
54.885,-165.8,4.17
55.023,-164.58517,-0.769
55.12,-163.48,2.74
55.131,-163.42833,2.6005
55.04533,-164.58717,0.76275
55.05,-164.58,0.78
55.05,-164.583,0.76807
55.0004011980537,-165.148129644946,3.612
55.09167,-164.23167,-0.31
55.15,-163.58333,1.59
55.09033,-164.58667,-1.0905
55.09933,-164.58683,0.965
55.092,-164.783,3.64
54.9982460244113,-165.748722975349,4.398
54.9999619999999,-165.749781,4.5190001
55.0347,-165.4905,3.88
55.0372,-165.4852,4.1176
55.25667,-163.06,2.25
55.13033,-164.58833,2.1356
55.20967,-163.70333,-0.50075
55.15,-164.4,1.36
54.91667,-166.75,4.1
55.23,-163.55167,2.47
55.285,-162.96667,2.47
54.915,-166.975,4.49
55.24583,-163.61867,0.9972
54.92,-166.98,4.45
54.9837,-166.4312,4.9488
55.16,-164.69,3.15
55.20445,-164.20748,0.0463
55.0052719999999,-166.338309,4.8520002
