width,station,num.b,meas.b,num.n,meas.n,depth,netwidth,temp,phi,area.n,area.b
73,IH2120,1,1,1,1,69,19.724,-0.5,3.084690721,0.01393945,0.001573
73,J18,0,0,2,2,69,17.01,-1.3,3.53616725,0.013955533,0.001729
73,J19,0,0,3,3,70,17.674,-1.4,3.383303385,0.016108009,0.001967
73,J20,1,1,3,3,70,17.531,-1.3,3.420389645,0.014342088,0.001781
73,J21,1,1,1.8528,1,74,21.313,-0.7,3.782849245,0.017883537,0.001866
73,J22,0,0,3,3,86,17.659,1.2,4.363528075,0.014132744,0.002204
73,J23,1,1,2,2,98,17.654,2,4.825662831,0.014478744,0.002223
73,J24,16,16,2,2,104,17.238,2.2,4.898351515,0.010564225,0.001779
73,J25,4,4,1,1,108,18.31,2.8,4.497124707,0.01693322,0.002364
73,JI2019,0,0,6,6,66,16.21,-1.4,3.256647755,0.013214119,0.001637
73,JI2120,0,0,3,3,71,16.959,-1.1,3.396841343,0.013854358,0.001986
73,JI2221,1,1,3,3,77,17.237,0.3,3.883139896,0.014156848,0.001922
73,K20,2,2,1,1,69,17.227,-1.4,3.628743979,0.014038138,0.001657
73,K21,6,6,2,2,73,16.812,-1.2,4.01417833,0.014244035,0.001774
73,K22,3,3,3,3,84,17.182,0.3,4.584010222,0.014312055,0.00179
73,K23,3,3,3,3,95,17.373,1.8,5.003959037,0.014136851,0.001984
73,K24,3,3,4,4,102,17.068,2.5,5.064305575,0.013814022,0.002303
73,K25,1,1,0,0,109,17.441,2.8,4.726845964,0.01565666,0.002086
73,L20,13,13,6,6,67,17.602,-1.1,3.825626356,0.014241084,0.001801
73,L21,3,3,7,7,73,16.83,-1.4,4.260148815,0.014195496,0.001732
73,L22,21,21,32,32,82,17.487,-0.1,4.762805981,0.014142943,0.001803
73,L23,10,10,3,3,92,17.397,1.2,5.095623434,0.014065082,0.001973
73,L24,6,6,3,3,101,17.608,2.1,5.139558957,0.014071393,0.002287
73,L25,10,10,6,6,112,17.441,2.6,4.907495526,0.01400404,0.002199
73,N20,4,4,12.5448,8,60,16.65,-1.2,4.226803119,0.014014547,0.001513
73,N21,10,10,11.9208,8,68,16.959,-1.5,4.659262716,0.013547802,0.001949
73,N22,9,9,24.2405,5,75,17.666,-1.5,4.932028292,0.01470491,0.001568
73,N24,8,8,29.8564,8,87,17.36,-0.4,5.126624379,0.013771977,0.002281
73,N25,5,5,2,2,102,17.654,1.6,5.248364893,0.014334626,0.002505
73,N26,2,2,1,1,110,17.28,2.1,5.396134818,0.014423914,0.002565
73,N27,1,1,0,0,120,17.873,2.4,5.454663137,0.014137261,0.002595
73,O20,3,3,3.8344,2,56,17.214,-1.4,4.336545986,0.014288522,0.001493
73,O22,4,4,14.559,5,72,18.317,-1.5,4.847790796,0.015305537,0.001688
73,O24,2,2,6,6,84,17.36,-1.1,4.952238978,0.01433885,0.001958
