pcapture.data.selectmodel.males,,,,,,,,,,,
width,station,num.b,meas.b,num.n,meas.n,depth,netwidth,temp,phi,area.n,area.b
25,F18,0,0,1,1,107,17.882,2.3,3.309178,0.013930624,0.002155
25,F22,1,1,0,0,113,17.814,3.7,3.661512,0.01465671,0.001968
25,H18,3,3,19,19,74,17.655,-0.7,3.312259,0.015714934,0.001505
25,I18,3,3,1,1,71,17.168,-0.2,3.464881,0.01426035,0.001726
25,I21,5,5,0,0,73,15.877,-0.3,3.407365,0.012535312,0.001424
25,I22,3,3,0,0,84,16.847,1.8,3.995257,0.013787421,0.002207
25,I23,1,1,0,0,99,17.1,2.8,4.531773,0.013869834,0.002579
25,IH2120,1,1,0,0,69,19.724,-0.5,3.084691,0.01393945,0.001573
25,IH2221,1,1,0,0,74,16.502,2.8,3.53601,0.013586867,0.001467
25,J18,22,22,10,10,69,17.01,-1.3,3.536167,0.013955533,0.001729
25,J19,19,19,8,8,70,17.674,-1.4,3.383303,0.016108009,0.001967
25,J20,9,9,1,1,70,17.531,-1.3,3.42039,0.014342088,0.001781
25,J21,4,4,0,0,74,21.313,-0.7,3.782849,0.017883537,0.001866
25,J22,10,10,0,0,86,17.659,1.2,4.363528,0.014132744,0.002204
25,J23,1,1,1,1,98,17.654,2,4.825663,0.014478744,0.002223
25,J24,2,2,0,0,104,17.238,2.2,4.898352,0.010564225,0.001779
25,JI2019,5,5,1,1,66,16.21,-1.4,3.256648,0.013214119,0.001637
25,JI2120,0,0,22,22,71,16.959,-1.1,3.396841,0.013854358,0.001986
25,JI2221,10,10,0,0,77,17.237,0.3,3.88314,0.014156848,0.001922
25,K20,24,24,2,2,69,17.227,-1.4,3.628744,0.014038138,0.001657
25,K21,12,12,0,0,73,16.812,-1.2,4.014178,0.014244035,0.001774
25,K22,11,11,1,1,84,17.182,0.3,4.58401,0.014312055,0.00179
25,K23,11,11,0,0,95,17.373,1.8,5.003959,0.014136851,0.001984
25,K24,3,3,0,0,102,17.068,2.5,5.064306,0.013814022,0.002303
25,K25,0,0,1,1,109,17.441,2.8,4.726846,0.01565666,0.002086
25,L20,42,42,1,1,67,17.602,-1.1,3.825626,0.014241084,0.001801
25,L21,7,7,0,0,73,16.83,-1.4,4.260149,0.014195496,0.001732
25,L23,25,25,0,0,92,17.397,1.2,5.095623,0.014065082,0.001973
25,L24,10,10,0,0,101,17.608,2.1,5.139559,0.014071393,0.002287
25,N20,2,2,0,0,60,16.65,-1.2,4.226803,0.014014547,0.001513
25,N21,11,11,1.4901,1,68,16.959,-1.5,4.659263,0.013547802,0.001949
25,N22,5,5,0,0,75,17.666,-1.5,4.932028,0.01470491,0.001568
25,N24,3,3,0,0,87,17.36,-0.4,5.126624,0.013771977,0.002281
25,N25,6,6,0,0,102,17.654,1.6,5.248365,0.014334626,0.002505
25,N26,0,0,1,1,110,17.28,2.1,5.396135,0.014423914,0.002565
25,O20,1,1,3.8344,2,56,17.214,-1.4,4.336546,0.014288522,0.001493
25,O22,13,13,2.9118,1,72,18.317,-1.5,4.847791,0.015305537,0.001688
25,O24,5,5,0,0,84,17.36,-1.1,4.952239,0.01433885,0.001958
25,O25,2,2,0,0,95,17.654,-0.2,5.29128,0.014905952,0.001766
25,O26,91.48,20,0,0,104,17.11,1.8,5.668705,0.013623533,0.001917
25,ON2524,2,2,0,0,93,17.654,1.2,5.161146,0.01480301,0.00174
25,P20,8,4,0,0,53,16.541,-1.3,4.417112,0.013527348,0.001825
25,P22,3,3,0,0,69,17.975,-1.5,4.755803,0.014511419,0.001909
25,P24,0,0,2,2,65,17.432,-1,4.740611,0.014347497,0.001689
25,P25,4,4,3,3,75,17.444,-1.1,5.172185,0.005858907,0.001701
25,P26,21,21,2,2,97,18.02,0.6,5.834477,0.01460554,0.00235
25,P32,6,6,0,0,141,17.008,2.1,5.049571,0.012877846,0.002357
25,PO2423,2,2,0,0,76,17.475,-1.3,4.763224,0.014601968,0.001967
25,PO2524,28,28,2,2,80,17.738,-1.2,5.013459,0.014387317,0.001763
25,PO2625,8,8,2,2,94,17.955,-0.3,5.502576,0.014673258,0.002079
25,PO2726,3,3,0,0,106,17.782,1.3,5.964651,0.014091204,0.002411
25,Q20,9.048,3,23.6455,5,53,16.401,-1.5,4.688582,0.01318333,0.001657
