 pcapture.data.selectmodel.males
    width station    num.b meas.b     num.n meas.n depth netwidth temp      phi      area.n   area.b
1      25     F18    0.000      0    1.0000      1   107   17.882  2.3 3.309178 0.013930624 0.002155
2      25     F22    1.000      1    0.0000      0   113   17.814  3.7 3.661512 0.014656710 0.001968
3      25     H18    3.000      3   19.0000     19    74   17.655 -0.7 3.312259 0.015714934 0.001505
4      25     I18    3.000      3    1.0000      1    71   17.168 -0.2 3.464881 0.014260350 0.001726
5      25     I21    5.000      5    0.0000      0    73   15.877 -0.3 3.407365 0.012535312 0.001424
6      25     I22    3.000      3    0.0000      0    84   16.847  1.8 3.995257 0.013787421 0.002207
7      25     I23    1.000      1    0.0000      0    99   17.100  2.8 4.531773 0.013869834 0.002579
8      25  IH2120    1.000      1    0.0000      0    69   19.724 -0.5 3.084691 0.013939450 0.001573
9      25  IH2221    1.000      1    0.0000      0    74   16.502  2.8 3.536010 0.013586867 0.001467
10     25     J18   22.000     22   10.0000     10    69   17.010 -1.3 3.536167 0.013955533 0.001729
11     25     J19   19.000     19    8.0000      8    70   17.674 -1.4 3.383303 0.016108009 0.001967
12     25     J20    9.000      9    1.0000      1    70   17.531 -1.3 3.420390 0.014342088 0.001781
13     25     J21    4.000      4    0.0000      0    74   21.313 -0.7 3.782849 0.017883537 0.001866
14     25     J22   10.000     10    0.0000      0    86   17.659  1.2 4.363528 0.014132744 0.002204
15     25     J23    1.000      1    1.0000      1    98   17.654  2.0 4.825663 0.014478744 0.002223
16     25     J24    2.000      2    0.0000      0   104   17.238  2.2 4.898352 0.010564225 0.001779
17     25  JI2019    5.000      5    1.0000      1    66   16.210 -1.4 3.256648 0.013214119 0.001637
18     25  JI2120    0.000      0   22.0000     22    71   16.959 -1.1 3.396841 0.013854358 0.001986
19     25  JI2221   10.000     10    0.0000      0    77   17.237  0.3 3.883140 0.014156848 0.001922
20     25     K20   24.000     24    2.0000      2    69   17.227 -1.4 3.628744 0.014038138 0.001657
21     25     K21   12.000     12    0.0000      0    73   16.812 -1.2 4.014178 0.014244035 0.001774
22     25     K22   11.000     11    1.0000      1    84   17.182  0.3 4.584010 0.014312055 0.001790
23     25     K23   11.000     11    0.0000      0    95   17.373  1.8 5.003959 0.014136851 0.001984
24     25     K24    3.000      3    0.0000      0   102   17.068  2.5 5.064306 0.013814022 0.002303
25     25     K25    0.000      0    1.0000      1   109   17.441  2.8 4.726846 0.015656660 0.002086
26     25     L20   42.000     42    1.0000      1    67   17.602 -1.1 3.825626 0.014241084 0.001801
27     25     L21    7.000      7    0.0000      0    73   16.830 -1.4 4.260149 0.014195496 0.001732
28     25     L23   25.000     25    0.0000      0    92   17.397  1.2 5.095623 0.014065082 0.001973
29     25     L24   10.000     10    0.0000      0   101   17.608  2.1 5.139559 0.014071393 0.002287
30     25     N20    2.000      2    0.0000      0    60   16.650 -1.2 4.226803 0.014014547 0.001513
31     25     N21   11.000     11    1.4901      1    68   16.959 -1.5 4.659263 0.013547802 0.001949
32     25     N22    5.000      5    0.0000      0    75   17.666 -1.5 4.932028 0.014704910 0.001568
33     25     N24    3.000      3    0.0000      0    87   17.360 -0.4 5.126624 0.013771977 0.002281
34     25     N25    6.000      6    0.0000      0   102   17.654  1.6 5.248365 0.014334626 0.002505
35     25     N26    0.000      0    1.0000      1   110   17.280  2.1 5.396135 0.014423914 0.002565
36     25     O20    1.000      1    3.8344      2    56   17.214 -1.4 4.336546 0.014288522 0.001493
37     25     O22   13.000     13    2.9118      1    72   18.317 -1.5 4.847791 0.015305537 0.001688
38     25     O24    5.000      5    0.0000      0    84   17.360 -1.1 4.952239 0.014338850 0.001958
39     25     O25    2.000      2    0.0000      0    95   17.654 -0.2 5.291280 0.014905952 0.001766
40     25     O26   91.480     20    0.0000      0   104   17.110  1.8 5.668705 0.013623533 0.001917
41     25  ON2524    2.000      2    0.0000      0    93   17.654  1.2 5.161146 0.014803010 0.001740
42     25     P20    8.000      4    0.0000      0    53   16.541 -1.3 4.417112 0.013527348 0.001825
43     25     P22    3.000      3    0.0000      0    69   17.975 -1.5 4.755803 0.014511419 0.001909
44     25     P24    0.000      0    2.0000      2    65   17.432 -1.0 4.740611 0.014347497 0.001689
45     25     P25    4.000      4    3.0000      3    75   17.444 -1.1 5.172185 0.005858907 0.001701
